"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sbb" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-25 "GAS" "H2O." 9.308 9.308 9.315 9.315 9.315 "g/100g" 0.114 0.00633 0.006331 0.197 0.197 4.3 10 3 "median" 9.315 0.846
2014-07-25 "GAS" "H2O." 9.308 9.308 9.315 9.315 9.315 "g/100g" 0.114 0.00633 0.006331 0.197 0.197 4.3 6 3 "median" 9.315 0.846
2014-07-25 "GAS" "H2O." 9.308 9.308 9.315 9.315 9.315 "g/100g" 0.114 0.00633 0.006331 0.197 0.197 4.3 26 3 "median" 9.315 0.846
2014-07-25 "GAS" "H2O." 9.308 9.308 9.315 9.315 9.315 "g/100g" 0.114 0.00633 0.006331 0.197 0.197 4.3 33 3 "median" 9.315 0.846
2014-07-25 "GAS" "H2O." 9.308 9.308 9.315 9.315 9.315 "g/100g" 0.114 0.00633 0.006331 0.197 0.197 4.3 31 3 "median" 9.315 0.846
2014-07-25 "GAS" "H2O." 9.308 9.308 9.315 9.315 9.315 "g/100g" 0.114 0.00633 0.006331 0.197 0.197 4.3 24 3 "median" 9.315 0.846
2014-07-25 "GAS" "CO2" 1.298 1.298 1.295 1.295 1.295 "g/100g" 0.00483 0.00068 0.0006796 0.0525 0.0525 12.71 10 2 "median" 1.295 0.667
2014-07-25 "GAS" "CO2" 1.298 1.298 1.295 1.295 1.295 "g/100g" 0.00483 0.00068 0.0006796 0.0525 0.0525 12.71 6 2 "median" 1.295 0.667
2014-07-25 "GAS" "CO2" 1.298 1.298 1.295 1.295 1.295 "g/100g" 0.00483 0.00068 0.0006796 0.0525 0.0525 12.71 26 2 "median" 1.295 0.667
2014-07-25 "GAS" "CO2" 1.298 1.298 1.295 1.295 1.295 "g/100g" 0.00483 0.00068 0.0006796 0.0525 0.0525 12.71 33 2 "median" 1.295 0.667
2014-07-25 "GAS" "CO2" 1.298 1.298 1.295 1.295 1.295 "g/100g" 0.00483 0.00068 0.0006796 0.0525 0.0525 12.71 31 2 "median" 1.295 0.667
2014-07-25 "GAS" "CO2" 1.298 1.298 1.295 1.295 1.295 "g/100g" 0.00483 0.00068 0.0006796 0.0525 0.0525 12.71 24 2 "median" 1.295 0.667
2014-07-25 "GAS" "LOI" 13.15 13.15 13.19 13.19 13.19 "g/100g" 0.0334 0.0047 0.004698 0.0416 0.0416 2.08 10 22 "median" 13.19 0.0865
2014-07-25 "GAS" "LOI" 13.15 13.15 13.19 13.19 13.19 "g/100g" 0.0334 0.0047 0.004698 0.0416 0.0416 2.08 6 22 "median" 13.19 0.0865
2014-07-25 "GAS" "LOI" 13.15 13.15 13.19 13.19 13.19 "g/100g" 0.0334 0.0047 0.004698 0.0416 0.0416 2.08 26 22 "median" 13.19 0.0865
2014-07-25 "GAS" "LOI" 13.15 13.15 13.19 13.19 13.19 "g/100g" 0.0334 0.0047 0.004698 0.0416 0.0416 2.08 33 22 "median" 13.19 0.0865
2014-07-25 "GAS" "LOI" 13.15 13.15 13.19 13.19 13.19 "g/100g" 0.0334 0.0047 0.004698 0.0416 0.0416 2.08 31 22 "median" 13.19 0.0865
2014-07-25 "GAS" "LOI" 13.15 13.15 13.19 13.19 13.19 "g/100g" 0.0334 0.0047 0.004698 0.0416 0.0416 2.08 24 22 "median" 13.19 0.0865
2014-07-25 "GAS" "As" 99.33 105.8 112.5 112.6 112.6 "mg/kg" 313 43.9 43.95 6.29 6.29 2.31 10 9 "median" 112.6 14.5
2014-07-25 "GAS" "As" 99.33 105.8 112.5 112.6 112.6 "mg/kg" 313 43.9 43.95 6.29 6.29 2.31 6 9 "median" 112.6 14.5
2014-07-25 "GAS" "As" 99.33 105.8 112.5 112.6 112.6 "mg/kg" 313 43.9 43.95 6.29 6.29 2.31 26 9 "median" 112.6 14.5
2014-07-25 "GAS" "As" 99.33 105.8 112.5 112.6 112.6 "mg/kg" 313 43.9 43.95 6.29 6.29 2.31 33 9 "median" 112.6 14.5
2014-07-25 "GAS" "As" 99.33 105.8 112.5 112.6 112.6 "mg/kg" 313 43.9 43.95 6.29 6.29 2.31 31 9 "median" 112.6 14.5
2014-07-25 "GAS" "As" 99.33 105.8 112.5 112.6 112.6 "mg/kg" 313 43.9 43.95 6.29 6.29 2.31 24 9 "median" 112.6 14.5
2014-07-25 "GAS" "Ba" 9.484 8.151 8.056 8 8 "mg/kg" 0.329 0.0463 0.04629 0.153 0.153 2.13 10 16 "median" 8 0.327
2014-07-25 "GAS" "Ba" 9.484 8.151 8.056 8 8 "mg/kg" 0.329 0.0463 0.04629 0.153 0.153 2.13 6 16 "median" 8 0.327
2014-07-25 "GAS" "Ba" 9.484 8.151 8.056 8 8 "mg/kg" 0.329 0.0463 0.04629 0.153 0.153 2.13 26 16 "median" 8 0.327
2014-07-25 "GAS" "Ba" 9.484 8.151 8.056 8 8 "mg/kg" 0.329 0.0463 0.04629 0.153 0.153 2.13 33 16 "median" 8 0.327
2014-07-25 "GAS" "Ba" 9.484 8.151 8.056 8 8 "mg/kg" 0.329 0.0463 0.04629 0.153 0.153 2.13 31 16 "median" 8 0.327
2014-07-25 "GAS" "Ba" 9.484 8.151 8.056 8 8 "mg/kg" 0.329 0.0463 0.04629 0.153 0.153 2.13 24 16 "median" 8 0.327
2014-07-25 "GAS" "Be" 0.03072 0.03072 0.02877 0.02877 0.02877 "mg/kg" 4.3e-05 6.05e-06 6.048e-06 0.00404 0.00404 4.3 10 3 "median" 0.02877 0.0174
2014-07-25 "GAS" "Be" 0.03072 0.03072 0.02877 0.02877 0.02877 "mg/kg" 4.3e-05 6.05e-06 6.048e-06 0.00404 0.00404 4.3 6 3 "median" 0.02877 0.0174
2014-07-25 "GAS" "Be" 0.03072 0.03072 0.02877 0.02877 0.02877 "mg/kg" 4.3e-05 6.05e-06 6.048e-06 0.00404 0.00404 4.3 26 3 "median" 0.02877 0.0174
2014-07-25 "GAS" "Be" 0.03072 0.03072 0.02877 0.02877 0.02877 "mg/kg" 4.3e-05 6.05e-06 6.048e-06 0.00404 0.00404 4.3 33 3 "median" 0.02877 0.0174
2014-07-25 "GAS" "Be" 0.03072 0.03072 0.02877 0.02877 0.02877 "mg/kg" 4.3e-05 6.05e-06 6.048e-06 0.00404 0.00404 4.3 31 3 "median" 0.02877 0.0174
2014-07-25 "GAS" "Be" 0.03072 0.03072 0.02877 0.02877 0.02877 "mg/kg" 4.3e-05 6.05e-06 6.048e-06 0.00404 0.00404 4.3 24 3 "median" 0.02877 0.0174
2014-07-25 "GAS" "Ce" 0.2643 0.2519 0.2552 0.2541 0.2541 "mg/kg" 0.000782 0.00011 0.00011 0.00747 0.00747 2.13 10 16 "median" 0.2541 0.0159
2014-07-25 "GAS" "Ce" 0.2643 0.2519 0.2552 0.2541 0.2541 "mg/kg" 0.000782 0.00011 0.00011 0.00747 0.00747 2.13 6 16 "median" 0.2541 0.0159
2014-07-25 "GAS" "Ce" 0.2643 0.2519 0.2552 0.2541 0.2541 "mg/kg" 0.000782 0.00011 0.00011 0.00747 0.00747 2.13 26 16 "median" 0.2541 0.0159
2014-07-25 "GAS" "Ce" 0.2643 0.2519 0.2552 0.2541 0.2541 "mg/kg" 0.000782 0.00011 0.00011 0.00747 0.00747 2.13 33 16 "median" 0.2541 0.0159
2014-07-25 "GAS" "Ce" 0.2643 0.2519 0.2552 0.2541 0.2541 "mg/kg" 0.000782 0.00011 0.00011 0.00747 0.00747 2.13 31 16 "median" 0.2541 0.0159
2014-07-25 "GAS" "Ce" 0.2643 0.2519 0.2552 0.2541 0.2541 "mg/kg" 0.000782 0.00011 0.00011 0.00747 0.00747 2.13 24 16 "median" 0.2541 0.0159
2014-07-25 "GAS" "Co" 106.4 106.3 107.9 107.9 106.4 "mg/kg" 12.9 1.81 1.813 0.837 0.837 2.09 10 21 "median" 107.9 1.75
2014-07-25 "GAS" "Co" 106.4 106.3 107.9 107.9 106.4 "mg/kg" 12.9 1.81 1.813 0.837 0.837 2.09 6 21 "median" 107.9 1.75
2014-07-25 "GAS" "Co" 106.4 106.3 107.9 107.9 106.4 "mg/kg" 12.9 1.81 1.813 0.837 0.837 2.09 26 21 "median" 107.9 1.75
